schema_version,message_type,device_id,site_id,location,machine_type,cycle_id,cycle_started_at,cycle_ended_at,cycle_duration_ms,cycle_completeness,cycle_abort_reason,ops_phase_extend_duration_ms,ops_phase_dwell_duration_ms,ops_phase_retract_duration_ms,di_start_forward_edges,di_e_stop_triggered,di_overload_trip,di_door_open_events,di_gate_open_events,di_valve_extend_feedback_ok,di_valve_retract_feedback_ok,electrical_avg_current_rms_phase_a_a,electrical_avg_current_rms_phase_b_a,electrical_avg_current_rms_phase_c_a,electrical_peak_current_rms_phase_a_a,electrical_peak_current_rms_phase_b_a,electrical_peak_current_rms_phase_c_a,electrical_current_imbalance_pct_avg,electrical_current_imbalance_pct_max,electrical_avg_voltage_rms_ab_v,electrical_avg_voltage_rms_bc_v,electrical_avg_voltage_rms_ca_v,electrical_voltage_imbalance_pct_avg,electrical_voltage_imbalance_pct_max,electrical_inrush_current_peak_a,electrical_inrush_duration_ms,electrical_power_factor_avg,electrical_power_factor_min,electrical_time_below_pf_0p8_ms,energy_active_kwh,energy_reactive_kvarh,energy_apparent_kvah,energy_per_cycle_kwh,hydraulic_max_pressure_psi,hydraulic_avg_pressure_psi,hydraulic_pressure_rise_time_ms,hydraulic_max_dp_dt_psi_per_s,hydraulic_pressure_overshoot_pct,hydraulic_stall_signature_flag,thermal_oil_temp_start_c,thermal_oil_temp_end_c,thermal_oil_temp_delta_c,thermal_cold_start_flag,productivity_bale_count_increment,productivity_utilization_last_hour_pct,health_cycle_time_drift_pct,health_peak_current_drift_pct,health_pressure_capability_drift_pct,health_anomaly_score,health_attention_flag,calc_baseline_window_cycles,firmware_version,device_age_years,device_performance_profile
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240115060000_0001,2024-01-15T06:00:00Z,2024-01-15T06:09:57.712000Z,597712,True,,224053,57375,209447,1,False,False,0,0,True,True,42.16,46.72,49.37,105.41,116.79,123.43,15.65,23.47,475.35,480.4,479.2,1.05,1.27,148.12,187,0.805,0.705,0,16.015,11.8,19.893,16.015,3649.2,2736.9,1660,2198.3,1.5,False,49.8,65.5,15.7,False,1,67.3,1.12,-3.61,-1.25,0.073,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240115062042_0002,2024-01-15T06:20:42.903384Z,2024-01-15T06:30:52.814384Z,609911,True,,232103,58141,200073,1,False,False,0,0,True,True,48.53,46.39,51.04,121.32,115.99,127.59,9.54,14.31,481.46,476.82,474.89,1.37,1.65,153.11,157,0.808,0.708,0,17.548,12.776,21.706,17.548,3640.9,2730.7,2431,1497.7,0.9,False,54.7,70.7,16.0,False,1,76.1,-0.75,-2.92,0.41,0.006,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240115064811_0003,2024-01-15T06:48:11.944854Z,2024-01-15T06:58:14.295854Z,602351,True,,228035,58420,206224,1,False,False,0,0,True,True,49.89,48.27,49.61,124.72,120.68,124.04,3.28,4.92,483.3,491.7,485.35,1.73,2.07,149.67,273,0.833,0.733,0,18.139,12.067,21.786,18.139,3579.6,2684.7,2312,1548.3,0.4,False,56.2,72.0,15.8,False,1,75.6,2.71,-4.26,-0.85,0.023,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240115071554_0004,2024-01-15T07:15:54.661348Z,2024-01-15T07:26:02.693348Z,608032,True,,228656,60431,196638,1,False,False,0,0,True,True,44.61,50.7,49.08,111.52,126.75,122.71,12.66,18.99,474.81,479.62,484.86,2.1,2.51,152.1,291,0.854,0.754,0,18.037,10.97,21.111,18.037,3602.3,2701.7,1514,2379.3,0.6,False,56.6,72.6,16.0,False,1,70.1,-2.98,3.96,-0.15,0.113,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240115074052_0005,2024-01-15T07:40:52.119756Z,2024-01-15T07:50:59.700756Z,607581,True,,242316,64003,206139,1,False,False,0,0,True,True,43.79,50.87,47.88,109.49,127.18,119.7,14.9,22.35,475.22,477.93,473.01,1.03,1.24,152.62,224,0.837,0.737,0,17.455,11.392,20.844,17.455,3562.2,2671.7,1972,1806.4,1.6,False,54.5,70.4,15.9,False,1,69.9,3.18,3.61,-2.96,0.102,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240115080105_0006,2024-01-15T08:01:05.459979Z,2024-01-15T08:10:35.824979Z,570365,True,,215025,55431,188839,1,False,False,0,0,True,True,49.41,45.37,52.41,123.52,113.41,131.02,14.35,21.53,479.91,471.63,474.64,1.74,2.09,157.22,230,0.832,0.732,0,16.968,11.329,20.402,16.968,3647.7,2735.7,1719,2122.0,0.3,False,53.0,68.0,15.0,False,1,67.0,4.08,-2.6,-2.13,0.098,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240115083021_0007,2024-01-15T08:30:21.188442Z,2024-01-15T08:40:36.872442Z,615684,True,,237719,63150,200167,1,False,False,0,0,True,True,52.41,52.37,45.55,131.03,130.93,113.88,13.68,20.53,480.38,477.53,484.62,1.47,1.77,157.23,219,0.875,0.775,0,19.694,10.919,22.518,19.694,3635.8,2726.9,2263,1606.6,3.4,False,55.0,71.2,16.2,False,1,66.1,1.45,-3.26,1.15,0.077,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240115085932_0008,2024-01-15T08:59:32.337031Z,2024-01-15T09:09:02.770031Z,570433,True,,212848,56399,193736,1,False,False,0,0,True,True,44.5,52.29,55.81,111.26,130.72,139.53,22.23,33.35,478.38,478.97,472.8,1.29,1.55,167.44,248,0.875,0.775,0,18.454,10.208,21.089,18.454,3634.7,2726.0,1903,1910.0,4.4,False,57.4,72.4,15.0,False,1,76.6,1.42,-4.16,-2.03,0.18,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240115092221_0009,2024-01-15T09:22:21.327672Z,2024-01-15T09:22:23.425672Z,2098,False,e_stop,1258,0,0,2,True,False,0,0,True,True,53.79,49.62,44.62,134.48,124.04,111.55,18.59,27.88,483.28,475.13,483.94,1.83,2.2,161.38,170,0.823,0.723,0,0.063,0.043,0.076,0.063,3586.6,2690.0,1891,1896.7,4.2,False,56.6,56.7,0.1,False,0,63.5,-1.32,-2.35,-1.54,0.195,True,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240115093204_0010,2024-01-15T09:32:04.385351Z,2024-01-15T09:42:42.688351Z,638303,True,,248602,64906,225907,1,False,False,0,0,True,True,48.48,50.07,45.62,121.19,125.18,114.06,9.26,13.88,474.65,482.41,478.88,1.62,1.95,150.22,186,0.898,0.798,0,19.861,9.741,22.121,19.861,3592.8,2694.6,1680,2138.6,2.9,False,56.4,73.2,16.8,False,1,80.4,-4.25,-1.94,-1.85,0.054,False,50,2.3.1,1.0,high
